"RowNumber","CustomerId","ProfitScore","Exited","Age","Cumamountpaidout","Numofinsurances","EstimatedSalary","Geography","IsActiveMember"
1,15634602,619,1,42,0,1,101348.88,"France",1
2,15647311,608,0,41,83807.86,1,112542.58,"Spain",1
3,15619304,502,1,42,159660.8,3,113931.57,"France",0
4,15701354,699,0,39,0,2,93826.63,"France",0
5,15737888,850,0,43,125510.82,1,79084.1,"Spain",1
6,15574012,645,1,44,113755.78,2,149756.71,"Spain",0
7,15592531,822,0,50,0,2,10062.8,"France",1
8,15656148,376,1,29,115046.74,4,119346.88,"Germany",0
9,15792365,501,0,44,142051.07,2,74940.5,"France",1
10,15592389,684,0,27,134603.88,1,71725.73,"France",1
11,15767821,528,0,31,102016.72,2,80181.12,"France",0
12,15737173,497,0,24,0,2,76390.01,"Spain",0
13,15632264,476,0,34,0,2,26260.98,"France",0
14,15691483,549,0,25,0,2,190857.79,"France",0
15,15600882,635,0,35,0,2,65951.65,"Spain",1
16,15643966,616,0,45,143129.41,2,64327.26,"Germany",1
17,15737452,653,1,58,132602.88,1,5097.67,"Germany",0
18,15788218,549,0,24,0,2,14406.41,"Spain",1
19,15661507,587,0,45,0,1,158684.81,"Spain",0
20,15568982,726,0,24,0,2,54724.03,"France",1
21,15577657,732,0,41,0,2,170886.17,"France",1
22,15597945,636,0,32,0,2,138555.46,"Spain",0
23,15699309,510,1,38,0,1,118913.53,"Spain",0
24,15725737,669,0,46,0,2,8487.75,"France",1
25,15625047,846,0,38,0,1,187616.16,"France",1
26,15738191,577,0,25,0,2,124508.29,"France",1
27,15736816,756,0,36,136815.64,1,170041.95,"Germany",1
28,15700772,571,0,44,0,2,38433.35,"France",0
29,15728693,574,0,43,141349.43,1,100187.43,"Germany",1
30,15656300,411,0,29,59697.17,2,53483.21,"France",1
31,15589475,591,1,39,0,3,140469.38,"Spain",0
32,15706552,533,0,36,85311.7,1,156731.91,"France",1
33,15750181,553,0,41,110112.54,2,81898.81,"Germany",0
34,15659428,520,0,42,0,2,34410.55,"Spain",1
35,15732963,722,0,29,0,2,142033.07,"Spain",1
36,15794171,475,1,45,134264.04,1,27822.99,"France",0
37,15788448,490,0,31,145260.23,1,114066.77,"Spain",1
38,15729599,804,0,33,76548.6,1,98453.45,"Spain",1
39,15717426,850,0,36,0,1,40812.9,"France",1
40,15585768,582,0,41,70349.48,2,178074.04,"Germany",1
41,15619360,472,0,40,0,1,70154.22,"Spain",0
42,15738148,465,1,51,122522.32,1,181297.65,"France",0
43,15687946,556,0,61,117419.35,1,94153.83,"France",1
44,15755196,834,1,49,131394.56,1,194365.76,"France",0
45,15684171,660,0,61,155931.11,1,158338.39,"Spain",1
46,15754849,776,0,32,109421.13,2,126517.46,"Germany",1
47,15602280,829,1,27,112045.67,1,119708.21,"Germany",1
48,15771573,637,1,39,137843.8,1,117622.8,"Germany",1
49,15766205,550,0,38,103391.38,1,90878.13,"Germany",1
50,15771873,776,0,37,103769.22,2,194099.12,"Germany",0
51,15616550,698,0,44,116363.37,2,198059.16,"Germany",0
52,15768193,585,0,36,146050.97,2,86424.57,"Germany",0
53,15683553,788,0,33,0,2,116978.19,"France",0
54,15702298,655,1,41,125561.97,1,164040.94,"Germany",0
55,15569590,601,1,42,98495.72,1,40014.76,"Germany",0
56,15760861,619,0,43,125211.92,1,113410.49,"France",1
57,15630053,656,0,45,127864.4,1,87107.57,"France",0
58,15647091,725,0,19,75888.2,1,45613.75,"Germany",0
59,15623944,511,1,66,0,1,1643.11,"Spain",0
60,15804771,614,0,51,40685.92,1,46775.28,"France",1
61,15651280,742,0,35,136857,1,84509.57,"Germany",0
62,15773469,687,0,27,152328.88,2,126494.82,"Germany",0
63,15702014,555,0,33,56084.69,2,178798.13,"Spain",0
64,15751208,684,0,56,78707.16,1,99398.36,"Spain",1
65,15592461,603,0,26,109166.37,1,92840.67,"Germany",1
66,15789484,751,0,36,169831.46,2,27758.36,"Germany",1
67,15696061,581,0,34,101633.04,1,110431.51,"Germany",0
68,15641582,735,0,43,123180.01,2,196673.28,"Germany",1
69,15638424,661,0,35,150725.53,2,113656.85,"Germany",1
70,15755648,675,0,21,98373.26,1,18203,"France",0
71,15703793,738,1,58,133745.44,4,28373.86,"Germany",0
72,15620344,813,0,29,0,1,33953.87,"France",0
73,15812518,657,0,37,163607.18,1,44203.55,"Spain",1
74,15779052,604,0,25,157780.84,2,58426.81,"Germany",1
75,15770811,519,0,36,0,2,145562.4,"France",1
76,15780961,735,0,21,178718.19,2,22388,"France",0
77,15614049,664,0,55,0,2,139161.64,"France",1
78,15662085,678,0,32,0,1,148210.64,"France",1
79,15575185,757,0,33,77253.22,1,194239.63,"Spain",1
80,15803136,416,0,41,122189.66,2,98301.61,"Germany",0
81,15706021,665,0,34,96645.54,2,171413.66,"France",0
82,15663706,777,1,32,0,1,136458.19,"France",0
83,15641732,543,0,36,0,2,26019.59,"France",0
84,15701164,506,0,34,90307.62,1,159235.29,"France",1
85,15738751,493,0,46,0,2,1907.66,"France",0
86,15805254,652,0,75,0,2,114675.75,"Spain",1
87,15762418,750,1,22,121681.82,1,128643.35,"Spain",0
88,15625759,729,0,30,0,2,151869.35,"France",0
89,15622897,646,1,46,0,3,93251.42,"France",0
90,15767954,635,0,28,81623.67,2,156791.36,"Germany",1
91,15757535,647,1,44,0,3,174205.22,"Spain",1
92,15731511,808,0,45,118626.55,2,147132.46,"France",0
93,15809248,524,0,36,0,2,109614.57,"France",0
94,15640635,769,0,29,0,2,172290.61,"France",1
95,15676966,730,0,42,0,2,85982.47,"Spain",1
96,15699461,515,0,35,176273.95,1,121277.78,"Spain",1
97,15738721,773,0,41,102827.44,1,64595.25,"Spain",1
98,15693683,814,0,29,97086.4,2,197276.13,"Germany",1
99,15604348,710,0,22,0,2,99645.04,"Spain",0
100,15633059,413,0,34,0,2,6534.18,"France",0
101,15808582,665,0,40,0,1,161848.03,"France",1
102,15743192,623,0,44,0,2,167162.43,"France",0
103,15580146,738,0,31,82674.15,1,41970.72,"France",0
104,15776605,528,0,36,0,2,60536.56,"Spain",0
105,15804919,670,1,65,0,1,177655.68,"Spain",1
106,15613854,622,1,46,107073.27,2,30984.59,"Spain",1
107,15599195,582,0,32,88938.62,1,10054.53,"Germany",1
108,15812878,785,0,36,99806.85,1,36976.52,"Germany",1
109,15602312,605,0,33,150092.8,1,71862.79,"Spain",0
110,15744689,479,1,35,92833.89,1,99449.86,"Germany",0
111,15803526,685,0,30,90536.81,1,63082.88,"Germany",1
112,15665790,538,0,39,108055.1,2,27231.26,"Germany",0
113,15715951,562,0,42,100238.35,1,86797.41,"France",0
114,15591100,675,0,36,106190.55,1,22994.32,"Spain",1
115,15609618,721,1,28,154475.54,2,101300.94,"Germany",1
116,15675522,628,0,30,132351.29,2,74169.13,"Germany",1
117,15705512,668,0,37,167864.4,1,115638.29,"Germany",0
118,15698028,506,0,41,0,2,31766.3,"France",0
119,15661670,524,1,31,107818.63,1,199725.39,"Germany",0
120,15600781,699,0,34,185173.81,2,120834.48,"Germany",0
121,15682472,828,0,34,129433.34,2,38131.77,"France",0
122,15580203,674,0,39,120193.42,1,100130.95,"Spain",0
123,15690673,656,0,39,0,2,141069.88,"France",0
124,15760085,684,0,48,126384.42,1,198129.36,"Germany",1
125,15779659,625,0,28,0,1,183646.41,"France",0
126,15627360,432,1,42,152603.45,1,110265.24,"France",0
127,15671137,549,1,52,0,1,8636.05,"France",1
128,15782688,625,1,56,148507.24,1,46824.08,"Germany",0
129,15575492,828,0,41,0,2,171378.77,"France",0
130,15591607,770,0,24,101827.07,1,167256.35,"France",0
131,15740404,758,0,34,0,2,124226.16,"France",1
132,15718369,795,0,33,130862.43,1,114935.21,"Germany",1
133,15677871,687,0,38,122570.87,1,35608.88,"France",1
134,15642004,686,0,25,0,2,16459.37,"France",1
135,15712543,789,0,39,124828.46,2,124411.08,"Germany",1
136,15584518,589,0,50,144895.05,2,34941.23,"Germany",1
137,15802381,461,0,34,63663.93,1,167784.28,"Germany",1
138,15610156,637,0,40,133463.1,1,93165.34,"France",1
139,15594408,584,1,48,213146.2,1,75161.25,"Spain",0
140,15640905,579,1,35,129490.36,2,8590.83,"Spain",1
141,15698932,756,0,44,137452.09,1,189543.9,"Germany",0
142,15724944,663,0,34,0,2,180427.24,"France",1
143,15628145,682,0,43,125851.93,1,193318.33,"France",1
144,15713483,793,1,52,0,1,159123.82,"Spain",0
145,15612350,691,1,31,40915.55,1,126213.84,"France",0
146,15800703,485,0,21,113157.22,1,54141.5,"Spain",1
147,15705707,635,0,29,138296.94,2,141075.51,"Spain",0
148,15754105,650,0,37,106967.18,1,24495.03,"France",0
149,15703264,735,0,44,120681.63,1,74836.34,"France",0
150,15794413,416,0,32,0,2,878.87,"France",1
151,15650237,754,0,32,0,2,89520.75,"Spain",0
152,15759618,535,1,48,0,1,149892.79,"France",0
153,15811589,716,0,42,0,2,180800.42,"Spain",0
154,15689044,539,0,37,127609.59,1,98646.22,"France",0
155,15709368,614,0,43,0,2,109041.53,"France",1
156,15679145,706,1,57,0,1,17941.16,"Spain",0
157,15655007,758,0,33,0,2,82996.47,"France",0
158,15623595,586,0,28,0,2,92067.35,"Spain",1
159,15589975,646,0,73,97259.25,1,104719.66,"France",1
160,15804017,631,0,33,123246.7,1,112687.57,"Germany",0
161,15692132,717,0,22,101060.25,1,84699.56,"Spain",1
162,15641122,684,0,30,0,2,83473.82,"France",0
163,15630910,800,0,49,108007.36,1,47125.11,"France",0
164,15680772,721,0,36,0,2,106977.8,"Spain",1
165,15658929,683,1,29,133702.89,1,55582.54,"Spain",0
166,15585388,660,0,31,125189.75,2,139874.43,"Germany",1
167,15724623,704,1,24,113034.22,1,162503.48,"Germany",0
168,15588537,615,0,41,109013.23,1,196499.96,"Spain",0
169,15574692,667,1,39,0,2,40721.24,"Spain",0
170,15611325,682,0,24,57929.81,2,53134.3,"Germany",0
171,15587562,484,0,29,130114.39,1,164017.89,"France",0
172,15613172,628,0,27,95826.49,2,155996.96,"Germany",0
173,15651022,480,1,44,129608.57,1,5472.7,"Germany",0
174,15586310,578,0,30,169462.09,1,112187.11,"France",0
175,15625524,512,0,40,0,2,146457.83,"France",1
176,15755209,484,0,35,133868.21,1,27286.1,"Spain",1
177,15645248,510,0,30,0,2,130553.47,"France",1
178,15790355,606,0,36,190479.48,2,179351.89,"Germany",0
179,15762615,597,0,40,101993.12,1,94774.12,"Spain",1
180,15625426,754,1,55,161608.81,1,8080.85,"Germany",0
181,15716334,850,0,45,122311.21,1,19482.5,"Spain",1
182,15789669,510,0,65,0,2,48071.61,"France",1
183,15621075,778,0,45,162150.42,2,174531.27,"Germany",0
184,15810845,636,0,42,0,2,55470.78,"France",1
185,15719377,804,1,50,0,1,8546.87,"France",1
186,15654506,514,0,32,0,2,95857.18,"France",0
187,15771977,730,0,39,99010.67,1,194945.8,"France",0
188,15708710,525,0,37,0,1,131521.72,"Spain",1
189,15726676,616,0,30,0,2,196108.51,"Spain",1
190,15587421,687,0,34,111388.18,2,148564.76,"Germany",0
191,15726931,715,1,41,56214.85,2,92982.61,"France",0
192,15771086,512,0,36,84327.77,2,17675.36,"France",0
193,15756850,479,0,40,0,2,114996.43,"France",0
194,15702741,601,0,32,93012.89,1,86957.42,"France",0
195,15679200,580,0,29,61710.44,2,128077.8,"Spain",0
196,15594815,807,0,35,174790.15,1,600.36,"France",1
197,15635905,616,0,32,0,2,43001.46,"Spain",1
198,15777892,721,0,37,107720.64,1,158591.12,"Germany",1
199,15656176,501,0,57,0,2,47847.19,"France",1
200,15811127,521,0,35,96423.84,1,10488.44,"France",0
201,15604482,850,0,30,141040.01,1,5978.2,"Spain",1
202,15622911,759,0,42,105420.18,1,121409.06,"France",1
203,15600974,516,1,50,0,1,146145.93,"Spain",1
204,15727868,711,1,38,129022.06,2,14374.86,"France",1
205,15627801,512,0,33,176666.62,1,94670.77,"Spain",0
206,15773039,550,0,37,0,1,179670.31,"France",1
207,15755262,608,1,41,89763.84,1,199304.74,"Spain",0
208,15679531,618,0,34,134954.53,1,151954.39,"France",1
209,15684181,643,1,45,0,1,142513.5,"France",0
210,15612087,671,0,45,106376.85,1,158264.62,"France",1
211,15752047,689,0,33,161814.64,2,169381.9,"Germany",0
212,15624592,603,0,31,0,2,169915.02,"France",1
213,15573152,620,0,41,0,2,88852.47,"France",0
214,15594917,676,0,34,63095.01,1,40645.81,"France",1
215,15785542,572,0,26,118287.01,2,60427.3,"Germany",0
216,15723488,668,1,47,106854.21,1,157959.02,"Germany",1
217,15680920,695,0,46,49512.55,1,133007.34,"France",0
218,15786308,730,0,33,0,2,176576.62,"Spain",0
219,15659366,807,1,43,105799.32,2,34888.04,"France",0
220,15774854,592,1,54,0,1,28737.71,"France",1
221,15725311,726,0,31,114722.05,2,98178.57,"France",1
222,15787155,514,0,30,0,1,125010.24,"Spain",1
223,15727829,567,0,42,0,2,167984.61,"France",1
224,15733247,850,1,33,0,1,4861.72,"France",0
225,15568748,671,1,45,99564.22,1,108872.45,"Germany",1
226,15699029,670,0,37,170557.91,2,198252.88,"France",0
227,15774393,694,0,30,0,2,26960.31,"France",1
228,15676895,547,1,39,74596.15,3,85746.52,"Germany",1
229,15637753,751,1,50,96888.39,1,77206.25,"Germany",0
230,15605461,594,0,29,130830.22,1,61048.53,"Germany",0
231,15808473,673,0,72,0,2,111981.19,"France",1
232,15627000,610,0,40,0,2,62232.6,"France",0
233,15787174,512,0,37,0,2,156105.03,"France",1
234,15723886,767,0,20,119714.25,2,150135.38,"Germany",1
235,15704769,585,0,67,113978.97,2,93146.11,"France",1
236,15772896,763,1,42,100160.75,1,33462.94,"Germany",0
237,15711540,712,0,29,0,1,144375,"France",1
238,15764866,539,1,43,116220.5,3,55803.96,"Germany",0
239,15794056,668,1,46,0,3,89048.46,"France",0
240,15795149,703,0,28,81173.83,2,162812.16,"France",1
241,15812009,662,0,38,0,2,136259.65,"Spain",0
242,15651001,725,0,39,116803.8,1,124052.97,"Germany",0
243,15813844,703,0,37,105961.68,2,74158.8,"France",1
244,15596175,659,1,67,117411.6,1,45071.09,"Germany",1
245,15576269,523,0,34,0,2,62030.06,"Spain",0
246,15797219,635,1,40,123497.58,1,131953.23,"France",0
247,15685500,772,0,26,152400.51,2,79414,"Germany",0
248,15599792,545,0,26,0,2,199638.56,"France",1
249,15657566,634,0,24,103097.85,1,157577.29,"Germany",1
250,15772423,739,1,54,126418.14,1,134420.75,"Germany",0
251,15628112,771,0,36,77846.9,1,99805.99,"Germany",0
252,15753754,587,0,34,0,2,97932.68,"Spain",1
253,15793726,681,0,79,0,2,170968.99,"France",1
254,15694717,544,0,37,79731.91,1,57558.95,"Germany",1
255,15665834,696,0,28,0,1,176713.47,"Spain",0
256,15765297,766,0,41,0,2,34283.23,"Spain",1
257,15636684,727,0,34,0,2,198637.34,"France",1
258,15592979,671,0,34,37266.67,2,156917.12,"Germany",0
259,15750803,693,0,30,127992.25,1,50457.2,"France",1
260,15607178,850,0,38,54901.01,1,140075.55,"Germany",1
261,15713853,732,0,42,108748.08,2,65323.11,"Germany",1
262,15673481,726,0,48,99906.19,1,64323.24,"Spain",0
263,15686776,557,0,32,184686.41,2,14956.44,"France",0
264,15673693,682,0,26,110654.02,1,111879.21,"France",1
265,15700696,738,0,31,79019.8,1,18606.23,"Spain",1
266,15813163,531,0,36,99240.51,1,123137.01,"Spain",0
267,15653857,498,0,34,0,2,148528.24,"France",1
268,15777076,651,0,36,0,2,13898.31,"France",0
269,15717398,549,1,39,0,1,81259.25,"Spain",0
270,15799217,791,0,35,52436.2,1,161051.75,"Germany",0
271,15787071,650,0,41,0,2,191599.67,"Spain",1
272,15619955,733,1,34,100337.96,3,48559.19,"Germany",0
273,15796505,811,0,34,149297.19,2,186339.74,"Germany",1
274,15725166,707,0,30,0,2,33159.37,"France",0
275,15800116,712,0,28,145605.44,1,93883.53,"Germany",1
276,15758685,706,0,37,0,2,110899.3,"Spain",1
277,15694456,756,1,62,0,1,11199.04,"France",1
278,15767339,777,0,53,0,2,189992.97,"France",0
279,15683562,646,0,35,84026.86,1,164255.69,"France",1
280,15782210,714,1,46,0,1,152167.79,"France",0
281,15668893,782,0,39,0,2,33949.67,"France",1
282,15669169,775,0,29,0,2,68143.93,"Spain",1
283,15643024,479,1,35,138718.92,1,47251.79,"Germany",1
284,15699389,807,0,42,118274.71,1,25885.72,"France",1
285,15708608,799,0,22,174185.98,2,192633.85,"France",1
286,15626144,675,0,40,113208.86,2,34577.36,"France",0
287,15573112,602,0,29,103907.28,1,161229.84,"Spain",0
288,15790678,475,0,32,119023.28,1,100816.29,"France",0
289,15727556,744,0,26,166297.89,1,181694.44,"Spain",1
290,15697307,588,0,34,0,2,79078.91,"Spain",0
291,15652266,703,0,42,63227,1,137316.32,"Germany",1
292,15607098,747,0,41,94521.17,2,194926.86,"Spain",0
293,15655774,583,0,27,0,2,51285.49,"France",0
294,15590241,750,1,34,112822.26,1,150401.53,"Spain",0
295,15785819,681,0,38,0,2,112491.96,"France",1
296,15723654,773,0,25,135903.33,1,73656.38,"France",0
297,15774510,714,0,31,125169.26,1,106636.89,"France",1
298,15684173,687,1,44,0,3,155853.52,"Spain",0
299,15650068,511,0,58,149117.31,1,162599.51,"France",1
300,15811490,627,0,33,0,2,103737.82,"France",1
301,15803976,694,0,31,0,2,160990.27,"France",0
302,15682541,616,0,36,132311.71,1,15462.84,"Spain",0
303,15695699,687,0,35,0,2,10334.05,"France",0
304,15624188,712,0,33,0,2,190686.16,"France",1
305,15812191,553,0,33,118082.89,1,94440.45,"France",0
306,15636673,667,0,31,119266.69,1,28257.63,"France",1
307,15594898,731,1,43,0,1,170034.95,"France",1
308,15660211,629,0,35,156847.29,2,31824.29,"Germany",0
309,15773972,614,1,50,137104.47,1,127166.49,"France",0
310,15746726,438,0,31,78398.69,1,44937.01,"Germany",0
311,15712287,652,0,80,0,2,188603.07,"France",1
312,15702919,729,0,30,63669.42,1,145111.37,"Germany",0
313,15674398,642,0,38,0,2,171463.83,"France",0
314,15797960,806,0,59,135296.33,1,182822.5,"Germany",0
315,15631868,744,0,36,153804.44,1,87213.33,"Spain",1
316,15581539,474,0,37,0,2,57175.32,"Spain",0
317,15662736,559,1,49,147069.78,1,120540.83,"France",0
318,15666252,706,0,42,0,2,28714.34,"Spain",1
319,15677512,628,0,22,0,1,85426.28,"Spain",0
320,15626114,429,0,24,95741.75,1,46170.75,"France",0
321,15810834,525,0,57,145965.33,1,64448.36,"Spain",1
322,15678910,680,0,30,141441.75,1,16278.97,"France",1
323,15694408,749,1,40,139290.41,1,182855.42,"France",0
324,15585215,763,0,31,0,2,50404.72,"France",0
325,15682757,734,0,30,0,2,107640.25,"France",0
326,15736601,716,0,35,144428.87,1,134132.65,"France",0
327,15601848,594,0,35,0,2,103480.69,"France",0
328,15736008,644,1,46,95441.27,1,108761.05,"France",0
329,15669064,671,0,35,144848.74,1,179012.3,"Germany",1
330,15624528,664,0,26,116244.14,2,95145.14,"Germany",1
331,15598493,656,0,50,0,2,72143.44,"France",1
